Name	Frequency	Approximate Number	Rank
TORI	0.008	12,145	1001
OCTAVIA	0.008	12,145	1002
JADE	0.008	12,145	1003
DENICE	0.008	12,145	1004
GERMAINE	0.008	12,145	1005
SIERRA	0.008	12,145	1006
MICHELL	0.008	12,145	1007
CORTNEY	0.008	12,145	1008
NELLY	0.008	12,145	1009
DORETHA	0.008	12,145	1010
SYDNEY	0.008	12,145	1011
DEIDRA	0.008	12,145	1012
MONIKA	0.008	12,145	1013
LASHONDA	0.008	12,145	1014
JUDI	0.008	12,145	1015
CHELSEY	0.008	12,145	1016
ANTIONETTE	0.008	12,145	1017
MARGOT	0.008	12,145	1018
BOBBY	0.008	12,145	1019
ADELAIDE	0.008	12,145	1020
NAN	0.008	12,145	1021
LEEANN	0.008	12,145	1022
ELISHA	0.008	12,145	1023
DESSIE	0.008	12,145	1024
LIBBY	0.008	12,145	1025
KATHI	0.008	12,145	1026
GAYLA	0.008	12,145	1027
LATANYA	0.008	12,145	1028
MINA	0.008	12,145	1029
MELLISA	0.008	12,145	1030
KIMBERLEE	0.008	12,145	1031
JASMIN	0.008	12,145	1032
RENAE	0.008	12,145	1033
ZELDA	0.008	12,145	1034
ELDA	0.008	12,145	1035
MA	0.008	12,145	1036
JUSTINA	0.008	12,145	1037
GUSSIE	0.008	12,145	1038
EMILIE	0.008	12,145	1039
CAMILLA	0.008	12,145	1040
ABBIE	0.008	12,145	1041
ROCIO	0.008	12,145	1042
KAITLYN	0.008	12,145	1043
JESSE	0.008	12,145	1044
EDYTHE	0.008	12,145	1045
ASHLEIGH	0.008	12,145	1046
SELINA	0.008	12,145	1047
LAKESHA	0.008	12,145	1048
GERI	0.008	12,145	1049
ALLENE	0.008	12,145	1050
PAMALA	0.008	12,145	1051
MICHAELA	0.008	12,145	1052
DAYNA	0.008	12,145	1053
CARYN	0.008	12,145	1054
ROSALIA	0.008	12,145	1055
SUN	0.007	10,627	1056
JACQULINE	0.007	10,627	1057
REBECA	0.007	10,627	1058
MARYBETH	0.007	10,627	1059
KRYSTLE	0.007	10,627	1060
IOLA	0.007	10,627	1061
DOTTIE	0.007	10,627	1062
BENNIE	0.007	10,627	1063
BELLE	0.007	10,627	1064
AUBREY	0.007	10,627	1065
GRISELDA	0.007	10,627	1066
ERNESTINA	0.007	10,627	1067
ELIDA	0.007	10,627	1068
ADRIANNE	0.007	10,627	1069
DEMETRIA	0.007	10,627	1070
DELMA	0.007	10,627	1071
CHONG	0.007	10,627	1072
JAQUELINE	0.007	10,627	1073
DESTINY	0.007	10,627	1074
ARLEEN	0.007	10,627	1075
VIRGINA	0.007	10,627	1076
